,date,meant
1279,19050814,28.7
1280,19050914,26.7
1281,19051014,26.1
1282,19051114,25.8
1283,19051214,12.8
1284,19050115,18.1
1285,19050215,16.7
1286,19050315,14.8
1287,19050415,23.4
1288,19050515,24.2
1289,19050615,26.7
1290,19050715,29.2
1291,19050815,29.2
1292,19050915,27
1293,19051015,26.4
1294,19051115,19.1
1295,19051215,13.5
1296,19050116,17.9
1297,19050216,18.4
1298,19050316,13.1
1299,19050416,22.8
1300,19050516,24.9
1301,19050616,27.5
1302,19050716,27.5
1303,19050816,29
1304,19050916,26.2
1305,19051016,24.7
1306,19051116,18.7
1307,19051216,16.7
1308,19050117,17.5
1309,19050217,15.6
1310,19050317,13.9
1311,19050417,22.8
1312,19050517,26.2
1313,19050617,28.8
1314,19050717,25.5
1315,19050817,29.1
1316,19050917,26.2
1317,19051017,25
1318,19051117,18.2
1319,19051217,15.1
1320,19050118,12.8
1321,19050218,15.6
1322,19050318,11.7
1323,19050418,23.4
1324,19050518,25.5
1325,19050618,28.3
1326,19050718,26.3
1327,19050818,29.3
1328,19050918,27.6
1329,19051018,24.7
1330,19051118,20.6
1331,19051218,14.2
1332,19050119,10.3
1333,19050219,17
1334,19050319,12.2
1335,19050419,20.1
1336,19050519,24.6
1337,19050619,27.5
1338,19050719,26.6
1339,19050819,29.3
1340,19050919,27
1341,19051019,25
1342,19051119,21.5
1343,19051219,16.5
1344,19050120,9.2
1345,19050220,19.1
1346,19050320,12.3
1347,19050420,20.1
1348,19050520,25.7
1349,19050620,27.5
1350,19050720,27.5
1351,19050820,29.2
1352,19050920,26.6
1353,19051020,26.7
1354,19051120,20.2
1355,19051220,18.3
1356,19050121,10.9
1357,19050221,17.4
1358,19050321,11.7
1359,19050421,22
1360,19050521,26.8
1361,19050621,27.6
1362,19050721,27.3
1363,19050821,28.9
1364,19050921,26.2
1365,19051021,23.6
1366,19051121,22.7
1367,19051221,18
1368,19050122,12.8
1369,19050222,16.5
1370,19050322,13.6
1371,19050422,21.7
1372,19050522,27
1373,19050622,26.9
1374,19050722,26.7
1375,19050822,28.6
1376,19050922,27.1
1377,19051022,22.5
1378,19051122,23.8
1379,19051222,15.3
1380,19050123,14.3
1381,19050223,17.9
1382,19050323,15.8
1383,19050423,22.1
1384,19050523,27
1385,19050623,27.8
1386,19050723,27.7
1387,19050823,27.2
